,handle,problemName,spotId
276,alitarekkk,A,0
277,Janaashraff,A,0
278,Ahmed_Nser_El_Din,I,0
282,Nouran_Ahmed_ibrahim,F,0
283,MedoZ,C,0
284,Yousef_Sameh,C,0
286,Shrouk_ragap20,I,0
287,Alaa-Ahmed,I,0
288,SHWKY,A,0
289,SaraMahmoud,N,0
291,AbdulrhmanHosny,N,0
292,Dazai_kun,F,0
295,Realziad,A,0
300,Ziad24,I,0
305,_Senior,F,0
306,Ahmed_Nser_El_Din,N,0
307,_Salah_Ashraf_2001,C,0
309,zezoo050,I,0
311,MedoZ,F,0
312,-MR_WHITE-,I,0
319,Nagib_Nagib,I,0
321,Mohammad_Mobarak,F,0
323,Mohmed_Salah,C,0
326,Verina.gad,C,0
327,abdullahadel114,N,0
329,mennahaliem,A,0
331,aligadallah,F,0
332,SaraMahmoud,F,0
333,ammar7018,A,0
335,3AsFOUr_Coder,F,0
339,Realziad,F,0
342,Nouran_Ahmed_ibrahim,C,0
343,Yousef_Sameh,F,0
345,alitarekkk,F,0
347,THE_OMAR,F,0
349,Ahmed1Galal,I,0
350,Haruyukio,I,0
352,mennahaliem,N,0
354,Sparrow.,A,0
359,MrMody,I,0
361,maryam.megahed,C,0
365,Bontos,I,0
371,_.anonymous._,B,0
373,Dazai_kun,N,0
375,Mohmed_Salah,F,0
378,ShahdAshraf,C,0
379,Lime,F,0
380,CEH_Abanoub_Ashraf_1,N,0
382,Desert_Coder,A,0
389,nagyjosef,I,0
390,Ahmed1Galal,F,0
393,Saytara,F,0
394,3LOLOo,C,0
397,AliGhaleb,I,0
398,Eiad_Ahmed,C,0
399,ammar7018,I,0
400,Ziad24,F,0
402,Ruba_Wasfi,I,0
413,MoamenSherif,F,0
416,alitarekkk,C,0
420,Desert_Coder,N,0
423,omarr35,F,0
432,Mostafa.mahmoud2001,I,0
441,CEH_Abanoub_Ashraf_1,I,0
443,abdullahadel114,F,0
448,maryam.megahed,F,0
456,L0GIC,F,0
458,Eiad_Ahmed,F,0
460,mageds,A,0
462,Dazai_kun,I,0
464,MrMody,F,0
467,Ali_Tarek99,N,0
470,DrVito,F,0
473,Mohammad_Mobarak,B,0
483,abdullahadel114,I,0
485,ShahdAshraf,F,0
486,3AsFOUr_Coder,C,0
493,Terminator01,N,0
504,Osama_Gharib,H,0
505,Mohmed_Salah,B,0
511,go_next,F,0
512,ahmedmagdy112233,F,0
513,samergayed,I,0
516,MennatAllahWael246,F,0
519,Tayseer2002,I,0
520,Lime,I,0
524,Alaa-Ahmed,C,0
526,mennahaliem,I,0
530,mohab0,N,0
532,-MR_WHITE-,C,0
533,Habibanaser,A,0
534,CEH_Abanoub_Ashraf_1,F,0
535,nagyjosef,A,0
537,zezoo050,A,0
540,ammar7018,F,0
546,Ruba_Wasfi,F,0
547,ghandy,N,0
548,Mariatawfek,F,0
550,samergayed,N,0
552,abdelrhman_ahmed7,I,0
558,Desert_Coder,F,0
560,Ali_Tarek99,I,0
561,Janaashraff,F,0
562,HanaaAhmed,A,0
567,Don,C,0
575,_Senior,B,0
577,AZoOoNY,B,0
580,L0GIC,C,0
581,3LOLOo,N,0
582,Salma_Khaled01,I,0
584,nagyjosef,F,0
588,Mostafa.mahmoud2001,C,0
598,AbdulrhmanHosny,A,0
599,Nouran.ouf,F,0
601,Verina.gad,F,0
603,.dave,A,0
604,Mr.Glory,F,0
609,go_next,C,0
611,ghandy,I,0
615,Yousef_Sameh,B,0
623,abdullahadel114,C,0
638,Terminator01,I,0
642,abdullahadel114,A,0
647,Mariatawfek,C,0
649,HanaaAhmed,C,0
655,3AsFOUr_Coder,B,0
656,Nouran.ouf,I,0
657,SHWKY,F,0
663,Dark_Knight_Coder,I,0
668,3LOLOo,I,0
671,Tayseer2002,F,0
675,AZoOoNY,H,0
679,Shrouk_ragap20,C,0
681,ghandy,A,0
687,Salma_Khaled01,F,0
693,Lime,C,0
695,MoamenSherif,B,0
696,DrVito,A,0
697,mosalah_02,E,0
700,Sparrow.,F,0
702,XxMr_ErR0rxX,C,0
703,mennahaliem,C,0
706,Nagib_Nagib,F,0
707,AbdulrhmanHosny,I,0
710,Dazai_kun,A,0
711,Terminator01,F,0
712,L0GIC,B,0
713,abdelrhman_ahmed7,F,0
714,aligadallah,I,0
722,ghandy,E,0
723,Eiad_Ahmed,B,0
724,go_next,I,0
726,mosalah_02,F,0
737,-MR_WHITE-,F,0
738,nagyjosef,C,0
742,MedoZ,B,0
751,The_Black_Coder,B,0
755,zezoo050,C,0
759,AbdulrhmanHosny,F,0
764,Janaashraff,I,0
768,_Senior,H,0
771,ghandy,F,0
773,zezoo050,B,0
774,Verina.gad,B,0
776,Don,B,0
783,Osama_Gharib,E,0
786,Mohammad_Mobarak,M,0
787,_Salah_Ashraf_2001,A,0
791,Ali_Tarek99,F,0
800,samergayed,F,0
802,Habibanaser,I,0
803,_Yuu,I,0
805,Ziadsameh,N,0
808,XxMr_ErR0rxX,A,0
814,ahmedasaad2772,C,0
816,3LOLOo,F,0
820,HanaaAhmed,B,0
821,AliGhaleb,A,0
840,Saytara,B,0
841,SaraMahmoud,A,0
844,samergayed,C,0
854,Desert_Coder,C,0
857,CEH_Abanoub_Ashraf_1,C,0
869,Mostafa.mahmoud2001,B,0
875,Salma_Khaled01,A,0
877,ahmedsaif10,B,0
882,KerollosRady,I,0
885,samergayed,A,0
892,Bontos,F,0
897,Osama_Gharib,B,0
911,ahmedmagdy112233,C,0
920,Osama_Gharib,L,0
924,Ruba_Wasfi,C,0
939,KerollosRady,A,0
950,maryam.megahed,B,0
955,Ziadsameh,F,0
958,Ahmed_Nser_El_Din,C,0
962,3AsFOUr_Coder,M,0
973,Shrouk_ragap20,F,0
978,Lime,M,0
979,3LOLOo,B,0
980,Nouran_Ahmed_ibrahim,H,0
987,_Again__,A,0
993,Habibanaser,B,0
996,ammar7018,C,0
1001,MedoZ,M,0
1016,ahmedasaad2772,B,0
1020,Saytara,A,0
1022,Alaa-Ahmed,F,0
1027,Eiad_Ahmed,H,0
1043,Ali_Tarek99,A,0
1050,_.anonymous._,H,0
1060,Habibanaser,F,0
1064,AliGhaleb,F,0
1071,Mohmed_Shabaan,C,0
1084,Mr.Glory,A,0
1088,Osama_Gharib,G,0
1091,-MR_WHITE-,B,0
1101,AZoOoNY,L,0
1104,Error_403,B,0
1107,Habibanaser,N,0
1108,L0GIC,H,0
1130,AZoOoNY,M,0
1134,Desert_Coder,B,0
1137,mosalah_02,B,0
1150,samergayed,B,0
1158,The_Black_Coder,M,0
1172,AbdullahMostafa,B,0
1177,ahmedmagdy112233,B,0
1184,Nouran_Ahmed_ibrahim,B,0
1191,Terminator01,L,0
1230,MedoZ,H,0
1250,mageds,F,0
1251,_Yuu,F,0
1276,KerollosRady,F,0
1291,The_Black_Coder,H,0
1296,mosalah_02,A,0
1355,Haruyukio,A,0
1362,Nouran.ouf,C,0
1381,Error_403,H,0
